locus_id	model	bootstrap_type	fit_orientation	trend_spearman	rho_spearman	n_sites	alt_min	alt_max	alt_rng	center_bound_low	center_bound_high	width_bound_high	dp_obs	center	center_lo	center_hi	width	width_lo	width_hi	pMin	pMax	p_low_orig	p_high_orig	delta_p	delta_p_signed	delta_p_abs	delta_p_abs_lo	delta_p_abs_hi	logLik	AIC	n_boot_total	n_boot_ok	boot_success_prop	center_boot_sd	width_boot_sd	delta_p_abs_boot_sd	center_ci_hits_bound	width_ci_hits_bound
R024672_35	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.817423891369599	10	450	2300	1850	265	2485	9250	0.5	1202.08612739309	1075.23323018175	1265.61206543087	33.4622084665395	6.18147957229767	280.105470938444	0.567424023741819	0.998887601088046	0.432575976258181	0.00111239891195403	0.431463577346227	-0.431463577346227	0.431463577346227	0.301705809315871	0.65519716040792	-41.1052028750416	90.2104057500833	100	100	1	58.4895313988925	86.1279151706979	0.0866477716976029	FALSE	FALSE
R024672_53	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.829928827260677	10	450	2300	1850	265	2485	9250	0.571428571428571	1273.81455718511	1093.77933666066	1351.75401392178	77.4491242143459	6.05039384912938	568.374833547028	0.512528147383749	0.999688200767156	0.487471852616251	0.000311799232843524	0.487160053383408	-0.487160053383408	0.487160053383408	0.384126254261357	0.755522717401144	-47.4357297432656	102.871459486531	100	100	1	74.4365604218447	179.329491593066	0.0887032264427381	FALSE	FALSE
R025848_41	free_noTails	parametric	original	Increasing	0.863397096042456	11	450	2300	1850	265	2485	9250	0.333333333333333	2057.33600697093	1733.97166701727	2367.20624532222	473.272839804628	3.82895295747294	823.430890670337	0.000142747982836623	0.398723700934421	0.000142747982836623	0.398723700934421	0.398580952951584	0.398580952951584	0.398580952951584	0.139594166997243	0.909359742989758	-19.1306634739065	46.2613269478129	100	100	1	173.951730430886	250.253456465456	0.223118511245254	FALSE	FALSE
R028703_19	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.915324085675769	11	450	2300	1850	265	2485	9250	0.5	920.685365697896	456.606270971287	1386.17908642143	838.56465927341	14.6693092245364	1380.93001527486	0.46317974523613	0.999895795593747	0.53682025476387	0.000104204406253028	0.536716050357617	-0.536716050357617	0.536716050357617	0.207407537455627	0.958278077464334	-34.6713967642125	77.3427935284251	100	100	1	246.381577579633	410.141454102497	0.22649702681274	FALSE	FALSE
R035974_55	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.897549110408119	11	450	2300	1850	265	2485	9250	0.5	1961.90254087032	1009.7037956214	2059.90840411401	195.950007145461	11.8901898505005	1673.29272594733	0.533937184252429	0.995953151645961	0.466062815747571	0.00404684835403857	0.462015967393533	-0.462015967393533	0.462015967393533	0.322451975277339	0.768016131218119	-61.8392755052804	131.678551010561	100	100	1	228.952549555582	430.66177513651	0.102453877639295	FALSE	FALSE
R036323_74	free_noTails	parametric	original	Increasing	0.946698206696756	11	450	2300	1850	265	2485	9250	0.5	1083.06044510804	999.255797633667	1235.48383854883	107.488498264477	1.6892130869591	488.069263362751	0.00078986787064074	0.362244274152333	0.00078986787064074	0.362244274152333	0.361454406281692	0.361454406281692	0.361454406281692	0.200879756921159	0.489321896092438	-43.379063337136	94.758126674272	100	100	1	62.2744304021523	117.200870596943	0.0766533403425162	FALSE	FALSE
R040425_54	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.907097322686796	11	450	2300	1850	265	2485	9250	0.5	1042.89714841143	907.164130202999	1124.9840235552	172.047170374711	4.32179899245396	444.899698969937	0.588996725801711	0.999340726352631	0.411003274198289	0.000659273647368841	0.41034400055092	-0.41034400055092	0.41034400055092	0.289980505104866	0.665636880437331	-33.8483166034246	75.6966332068492	100	100	1	57.3143923121529	120.924739498379	0.0972503457408755	FALSE	FALSE
R040425_61	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.907097322686796	11	450	2300	1850	265	2485	9250	0.5	1082.21121033605	895.114365821745	1143.10102902114	87.4582136208333	1.47121856498186	496.771839008574	0.610588885183908	0.999916413481662	0.389411114816092	8.35865183376194e-05	0.389327528297755	-0.389327528297755	0.389327528297755	0.231002806713781	0.639604217445504	-32.3637490064384	72.7274980128768	100	100	1	58.9226587672672	123.628077419998	0.102187204421605	FALSE	FALSE
R040858_309	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.708857770531561	11	450	2300	1850	265	2485	9250	0.5	1880.98960478793	781.98273356219	1969.33605918525	87.3730682831811	5.7904115112308	1512.65294366127	0.646343131280616	0.999766614597217	0.353656868719384	0.000233385402783282	0.353423483316601	-0.353423483316601	0.353423483316601	0.223993908301812	0.76303086916786	-49.1249322329835	106.249864465967	100	100	1	316.976328982299	353.945235790695	0.129764904704007	FALSE	FALSE
R049758_202	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.77051412852942	11	450	2300	1850	265	2485	9250	0.5	1092.74475774594	950.221880371933	1172.72460124141	61.5670484951774	8.4659740842701	458.763607267851	0.528064370645354	0.982196117025486	0.471935629354646	0.0178038829745143	0.454131746380132	-0.454131746380132	0.454131746380132	0.330091943967465	0.668310121285624	-46.1475046428003	100.295009285601	100	100	1	56.2322479290459	120.089675703997	0.0944411828632691	FALSE	FALSE
R056201_76	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.935495331442929	10	450	2300	1850	265	2485	9250	0.5	875.843968804917	448.960710773005	1746.4084747561	1373.21040377596	6.25821074947209	1792.94876472981	0.355197372224245	0.999804686107605	0.644802627775755	0.00019531389239491	0.64460731388336	-0.64460731388336	0.64460731388336	0.228318791175407	0.972368669115428	-37.839643785374	83.6792875707479	100	100	1	334.713528446533	590.933897098534	0.229335271500381	FALSE	FALSE
R057384_47	free_noTails	parametric	original	Increasing	0.704194232567538	11	450	2300	1850	265	2485	9250	0.5	1939.82105110232	1401.11506655516	2316.8269858722	317.288486625191	22.5916756905611	1909.23627343804	0.0695629109229156	0.493165588479141	0.0695629109229156	0.493165588479141	0.423602677556225	0.423602677556225	0.423602677556225	0.24809010320626	0.84586072156104	-43.1184540412326	94.2369080824652	100	100	1	212.061458776139	504.362398024187	0.165918100813815	FALSE	FALSE
R058569_67	free_noTails	parametric	original	Increasing	0.80212852981203	11	450	2300	1850	265	2485	9250	0.5	1990.76699405979	1821.93501603326	2248.91075597404	144.101409940872	4.8727784065824	1053.03759623568	0.0554206700339103	0.46678069854073	0.0554206700339103	0.46678069854073	0.41136002850682	0.41136002850682	0.41136002850682	0.23551430999151	0.911030022205413	-42.272051211099	92.5441024221981	100	100	1	154.552750407006	292.642179761438	0.158624526834721	FALSE	FALSE
R063986_69	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.886997995770143	11	450	2300	1850	265	2485	9250	0.666666666666667	1067.24971738141	939.930628307872	1114.24670179693	86.894996114335	2.07983023393569	340.127471820604	0.466236689622861	0.999372169655925	0.533763310377139	0.00062783034407532	0.533135480033064	-0.533135480033064	0.533135480033064	0.379685065899765	0.754550711817893	-22.4078578282366	52.8157156564731	100	100	1	58.242277379626	126.902828059532	0.100209018697143	FALSE	FALSE
R065322_41	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.872170038613083	11	450	2300	1850	265	2485	9250	0.5	1103.92674839203	1029.42053396145	1180.80759167909	12.8762096501326	1.69538386278145	293.333089330493	0.587126896790194	0.999665143406402	0.412873103209806	0.000334856593598332	0.412538246616208	-0.412538246616208	0.412538246616208	0.236825344265051	0.627907329257677	-36.7818889425745	81.563777885149	100	100	1	45.2248370469165	96.5279529342053	0.0929836279191426	FALSE	FALSE
R065992_28	free_noTails	parametric	original	Increasing	0.781839323181386	11	450	2300	1850	265	2485	9250	0.5	947.583983166623	889.02306913688	1174.19588973704	68.1168430014031	4.53498540411841	557.888192900822	0.0562806108757059	0.431382233285998	0.0562806108757059	0.431382233285998	0.375101622410292	0.375101622410292	0.375101622410292	0.255675057570644	0.55676610017935	-57.815406191134	123.630812382268	100	100	1	182.40210676916	195.438200905323	0.0945831864359511	FALSE	FALSE
R067394_78	free_noTails	parametric	original	Increasing	0.850711147436527	11	450	2300	1850	265	2485	9250	0.416666666666667	1249.02397634482	1136.09073584016	1467.97681763015	177.33877610447	2.33568521296428	539.379477165979	0.000233861995230531	0.354687933443822	0.000233861995230531	0.354687933443822	0.354454071448592	0.354454071448592	0.354454071448592	0.246103078735526	0.508479345112274	-33.402711419691	74.8054228393819	100	100	1	161.740229760869	228.595023627085	0.106077632084606	FALSE	FALSE
R070847_35	free_noTails	parametric	original	Increasing	0.896254833890857	11	450	2300	1850	265	2485	9250	0.5	1391.96331668407	1205.16126989393	2195.60977427432	431.370159115044	13.6154295865743	1309.80346858315	0.00195725006856208	0.407384909665417	0.00195725006856208	0.407384909665417	0.405427659596855	0.405427659596855	0.405427659596855	0.28256070124188	0.881551087456097	-35.8799726943016	79.7599453886032	100	100	1	299.875655257902	374.545146000789	0.148461116804775	FALSE	FALSE
R072097_32	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.678069517461136	11	450	2300	1850	265	2485	9250	0.5	1925.5832748509	1174.87180953723	1983.42739693138	44.0284997692497	6.24296214936673	521.512088806021	0.598275445050877	0.997534668250756	0.401724554949123	0.0024653317492439	0.399259223199879	-0.399259223199879	0.399259223199879	0.26872695437269	0.58190254925935	-53.4172328730836	114.834465746167	100	100	1	208.041371346395	164.865516627053	0.0839497468559271	FALSE	FALSE
R072097_54	free_noTails	parametric	original	Increasing	0.877153867405158	11	450	2300	1850	265	2485	9250	0.416666666666667	1293.51526180176	1231.09962389627	2145.98499940002	91.7838367892255	2.12002046138207	977.044971321021	0.000165162199079402	0.309439911919957	0.000165162199079402	0.309439911919957	0.309274749720878	0.309274749720878	0.309274749720878	0.199026598091947	0.77624439716307	-32.5625152656222	73.1250305312443	100	100	1	291.761075416778	264.62693091476	0.134993923578948	FALSE	FALSE
R072477_29	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.649531127815377	11	450	2300	1850	265	2485	9250	0.5	1991.91520947514	992.027325921247	2056.01508424337	107.847749974308	8.00529655396007	727.842562649987	0.534929740780879	0.995140707265023	0.465070259219121	0.00485929273497732	0.460210966484143	-0.460210966484143	0.460210966484143	0.27775366294741	0.61944411910067	-60.2348707226329	128.469741445266	100	100	1	216.697126715074	325.947572798913	0.100737388470423	FALSE	FALSE
R072477_49	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.740569831879026	11	450	2300	1850	265	2485	9250	0.571428571428571	2007.29809895071	1904.11641192213	2081.04201878603	64.1264080403462	8.69183290497488	352.600365724488	0.49118380893761	0.989220295291422	0.50881619106239	0.0107797047085776	0.498036486353812	-0.498036486353812	0.498036486353812	0.335150802153249	0.61928620411023	-60.2375847361578	128.475169472316	100	100	1	86.290443842576	89.3670650425461	0.0765988878906249	FALSE	FALSE
R075206_18	free_noTails	parametric	original	Increasing	0.779163233013924	11	450	2300	1850	265	2485	9250	0.5	1986.01403905327	1922.96965993134	2122.57025579647	47.1617948065534	2.87166581395164	355.74706173021	0.0104028482335203	0.460057172732268	0.0104028482335203	0.460057172732268	0.449654324498747	0.449654324498747	0.449654324498747	0.259124415758235	0.735682328987666	-28.3315276361823	64.6630552723647	100	100	1	52.1857410255244	99.2018705757485	0.116205626180342	FALSE	FALSE
R075206_42	free_noTails	parametric	original	Increasing	0.786245393106896	11	450	2300	1850	265	2485	9250	0.5	1981.96022240917	1919.70809480261	2118.39922286084	69.3260237521457	4.18233372252574	406.372495147615	0.00062569380815779	0.441098242750053	0.00062569380815779	0.441098242750053	0.440472548941895	0.440472548941895	0.440472548941895	0.258345972612776	0.757893788902376	-21.5175066051266	51.0350132102533	100	100	1	48.8890779494659	110.942016051161	0.127443903340061	FALSE	FALSE
R077654_55	free_noTails	parametric	original	Increasing	0.752325239503013	11	450	2300	1850	265	2485	9250	0.5	1420.70367222971	1115.22512860171	2274.45455416409	1056.31051299305	18.7349923579022	2168.86127940072	4.54871935660715e-05	0.448213635427751	4.54871935660715e-05	0.448213635427751	0.448168148234185	0.448168148234185	0.448168148234185	0.272047085603648	0.931976790365477	-53.8425376773027	115.685075354605	100	100	1	343.734350145035	590.988235462725	0.168935444613489	FALSE	FALSE
R106792_48	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.788137915919959	11	450	2300	1850	265	2485	9250	0.5	1143.94344182513	433.240510342221	1937.77072183986	1232.20744121651	34.1079178872487	2098.49581372222	0.460834233639696	0.977143162091534	0.539165766360304	0.0228568379084659	0.516308928451838	-0.516308928451838	0.516308928451838	0.228353934189186	0.970547216742935	-51.7143018940623	111.428603788125	100	100	1	386.184088262922	692.489170089201	0.216627591945131	FALSE	FALSE
R106851_52	free_noTails	parametric	original	Increasing	0.83770189909327	11	450	2300	1850	265	2485	9250	0.5	2036.47154399413	1289.96672994995	2322.37700759845	1019.93593434753	9.31010442540112	1483.02162533188	0.000344625192818686	0.585840150358508	0.000344625192818686	0.585840150358508	0.585495525165689	0.585495525165689	0.585495525165689	0.217738898685667	0.97030307050381	-30.3827546075634	68.7655092151267	100	100	1	295.016674841871	423.043566086785	0.226503499552872	FALSE	FALSE
R106851_58	free_noTails	parametric	original	Increasing	0.827788267151338	11	450	2300	1850	265	2485	9250	0.5	1852.53136206287	1268.75949324634	2203.73809073526	883.095168560867	15.1343976868191	1173.25990114442	0.000321359645483065	0.485564009114543	0.000321359645483065	0.485564009114543	0.48524264946906	0.48524264946906	0.48524264946906	0.234920928982769	0.950048426924037	-36.8118514214889	81.6237028429778	100	100	1	277.847188276077	351.146040088585	0.187509723256436	FALSE	FALSE
R106851_79	free_noTails	parametric	original	Increasing	0.835004911111921	11	450	2300	1850	265	2485	9250	0.5	1902.77763769209	1237.18318681218	2358.95073616068	1092.93842551161	7.65074608090198	1563.63088789765	0.00141262988013351	0.542738003906751	0.00141262988013351	0.542738003906751	0.541325374026617	0.541325374026617	0.541325374026617	0.212533848166364	0.976203382348203	-38.1553513239642	84.3107026479283	100	100	1	351.64517311091	479.30906489613	0.230669493644863	FALSE	FALSE
R106933_12	free_noTails	parametric	original	Increasing	0.852867863163889	11	450	2300	1850	265	2485	9250	0.333333333333333	1900.59098391526	1442.77730308421	2360.39875904042	2.33080289211659	8.16944581981915	773.797269627389	0.000282985948249581	0.248397405446341	0.000282985948249581	0.248397405446341	0.248114419498092	0.248114419498092	0.248114419498092	0.115579363789546	0.866113706793473	-21.6234958983151	51.2469917966302	100	100	1	194.143941372352	231.739951765749	0.202440877114281	FALSE	FALSE
R108022_64	free_noTails	parametric	original	Increasing	0.804054411407273	11	450	2300	1850	265	2485	9250	0.5	1108.92686904487	1017.06793028731	1376.29378695999	94.3518129793372	7.76752813690304	819.060500320516	0.0436100428564625	0.395905602673824	0.0436100428564625	0.395905602673824	0.352295559817361	0.352295559817361	0.352295559817361	0.213905875934615	0.542682600631611	-55.1985319647525	118.397063929505	100	100	1	171.714217590988	276.658640692741	0.0922803785518249	FALSE	FALSE
R108022_67	free_noTails	parametric	original	Increasing	0.747957592006766	11	450	2300	1850	265	2485	9250	0.5	1932.79358862666	1284.5015762337	2356.28403580917	180.432450766581	3.6862258152099	1982.50879597693	0.112116523791834	0.519571492244311	0.112116523791834	0.519571492244311	0.407454968452477	0.407454968452477	0.407454968452477	0.26643956657983	0.932652179756325	-54.3660971233921	116.732194246784	100	100	1	235.243536839045	608.003104667914	0.167368662266928	FALSE	FALSE
R108678_75	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.85488598042411	11	450	2300	1850	265	2485	9250	0.5	1090.12407717645	906.08933457418	1133.56920647992	49.1744755795178	9.97358228507729	424.498585122827	0.620021364223758	0.999989310337863	0.379978635776242	1.0689662136687e-05	0.379967946114106	-0.379967946114106	0.379967946114106	0.271802029007211	0.58654978325487	-31.1789041400949	70.3578082801897	100	100	1	60.458793681244	115.77127552664	0.0883205270149607	FALSE	FALSE
R112328_80	free_noTails	parametric	original	Increasing	0.803004187296508	11	450	2300	1850	265	2485	9250	0.5	1896.12516887342	1381.43537061851	2218.3370315874	340.038280025329	22.2375455142649	1143.87699599982	0.0107853864316171	0.461029585229616	0.0107853864316171	0.461029585229616	0.450244198797999	0.450244198797999	0.450244198797999	0.247283398151965	0.929663136591013	-33.6038785863007	75.2077571726015	100	100	1	190.609151147627	292.36419368662	0.188012567313982	FALSE	FALSE
R118398_69	free_noTails	parametric	original	Increasing	0.720448862302457	11	450	2300	1850	265	2485	9250	0.5	1924.8142840605	1165.99343109807	2204.27226374519	78.2056703533759	6.56158846177066	2084.45275563887	0.0858447339097045	0.492284950132983	0.0858447339097045	0.492284950132983	0.406440216223278	0.406440216223278	0.406440216223278	0.236511178478334	0.853920907396553	-42.8240753829895	93.648150765979	100	100	1	296.36277258633	547.234250171963	0.171359507151528	FALSE	FALSE
R120895_9	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.824042816359019	11	450	2300	1850	265	2485	9250	0.5	1239.10789013739	841.934040079369	1544.71671743006	15.7781761256725	1.09787574623406	1212.5729410683	0.582340839882133	0.968352562149184	0.417659160117867	0.031647437850816	0.386011722267051	-0.386011722267051	0.386011722267051	0.272539702889957	0.745043512824097	-39.8947010582004	87.7894021164008	100	100	1	152.083138934308	280.31536230452	0.115042336119977	FALSE	FALSE
R122686_65	free_noTails	parametric	original	Increasing	0.810750931649623	11	450	2300	1850	265	2485	9250	0.4	1858.2713300913	1438.10507140658	2297.42610918585	113.51005374087	16.3593081407461	713.604754393756	0.000199623839123531	0.244695801766374	0.000199623839123531	0.244695801766374	0.244496177927251	0.244496177927251	0.244496177927251	0.119057389973804	0.73974064262647	-25.3108552064372	58.6217104128744	100	100	1	200.381408815158	219.500459943339	0.151164841672263	FALSE	FALSE
R126146_53	free_noTails	parametric	original	Increasing	0.744584463593237	11	450	2300	1850	265	2485	9250	0.4	1997.85438091548	1922.17671199083	2231.34361704822	28.7855453873563	4.64606634343415	514.023584861299	0.0097379476473434	0.414669664114973	0.0097379476473434	0.414669664114973	0.40493171646763	0.40493171646763	0.40493171646763	0.190689397545749	0.903060245801288	-26.237237888073	60.474475776146	100	100	1	107.100034005172	133.566771310977	0.175517676790308	FALSE	FALSE
R126146_82	free_noTails	parametric	original	Increasing	0.862485978948101	11	450	2300	1850	265	2485	9250	0.416666666666667	1953.14246863555	1894.41379400831	2173.73582299454	115.332510594788	0.87214607809408	615.293519473822	0.0136156772769256	0.429114348220811	0.0136156772769256	0.429114348220811	0.415498670943885	0.415498670943885	0.415498670943885	0.227982956218133	0.889802475655985	-31.2831851303171	70.5663702606342	100	100	1	94.7871974357609	174.628706907204	0.149610832358352	FALSE	FALSE
R138588_36	free_noTails	parametric	original	Increasing	0.88967785172044	11	450	2300	1850	265	2485	9250	0.5	1301.91571286006	1226.92377104827	2077.422200058	84.9406651353744	1.35634264179981	645.878753630894	0.000335246022587171	0.336580844692388	0.000335246022587171	0.336580844692388	0.336245598669801	0.336245598669801	0.336245598669801	0.220884152851898	0.658626337181143	-32.4830546671953	72.9661093343906	100	100	1	271.166043614709	199.006252483204	0.105513400036038	FALSE	FALSE
R145598_62	free_noTails	parametric	flipped_to_increasing	Decreasing	-0.860760762877288	11	450	2300	1850	265	2485	9250	0.5	2004.28124053355	1733.92129553095	2067.22225619296	49.7547073652023	4.22384698851855	788.731057470649	0.50823760930839	0.999169724464758	0.49176239069161	0.00083027553524162	0.490932115156368	-0.490932115156368	0.490932115156368	0.356097307271705	0.636466974708167	-59.4964438190162	126.992887638032	100	100	1	115.551567171983	248.320526092769	0.0859628627643802	FALSE	FALSE
R146799_83	free_noTails	parametric	original	Increasing	0.774682960855324	11	450	2300	1850	265	2485	9250	0.428571428571429	2006.74176889898	1940.5807192468	2115.90764400415	46.430055605357	8.69316420671753	252.881623492916	1.17449451697842e-06	0.460873054491299	1.17449451697842e-06	0.460873054491299	0.460871879996782	0.460871879996782	0.460871879996782	0.28380668706831	0.719542943557402	-23.556789115204	55.1135782304081	100	100	1	41.833179980277	65.7081197791778	0.122004720997641	FALSE	FALSE
R156443_261	free_noTails	parametric	original	Increasing	0.779022005798618	11	450	2300	1850	265	2485	9250	0.416666666666667	1293.93160057936	1140.68204418857	2218.07928129306	37.6338550537452	4.99448714331155	1074.85768940848	0.0209801586415375	0.369088315330436	0.0209801586415375	0.369088315330436	0.348108156688898	0.348108156688898	0.348108156688898	0.220794802532903	0.953945717296142	-39.9152550261469	87.8305100522938	100	100	1	294.937072131261	321.054725870671	0.171304667414149	FALSE	FALSE
R160254_68	free_noTails	parametric	original	Increasing	0.852867863163889	11	450	2300	1850	265	2485	9250	0.4	1936.50394491323	1644.49533012067	2216.98939109437	166.068213986376	7.61452273817618	707.834207844225	0.000445148993951022	0.377050035417036	0.000445148993951022	0.377050035417036	0.376604886423085	0.376604886423085	0.376604886423085	0.208831522657937	0.894478535417669	-21.4411952725284	50.8823905450568	100	100	1	127.982038654032	193.76413890994	0.18650269592406	FALSE	FALSE
R160254_69	free_noTails	parametric	original	Increasing	0.852867863163889	11	450	2300	1850	265	2485	9250	0.4	1952.15113293822	1708.81441909203	2187.61956590741	151.003979592324	6.4481442861826	720.166259121988	0.000210798679234717	0.420735447037579	0.000210798679234717	0.420735447037579	0.420524648358345	0.420524648358345	0.420524648358345	0.242358042134581	0.922796682791197	-21.4677285828736	50.9354571657473	100	100	1	107.702872119419	210.292995257575	0.179329961144505	FALSE	FALSE
R170442_103	free_noTails	parametric	original	Increasing	0.88967785172044	11	450	2300	1850	265	2485	9250	0.5	1284.13491250478	1213.38771866865	1983.30883986802	113.601196397923	5.70299887865642	638.032431287398	0.000469062821633122	0.384828248821295	0.000469062821633122	0.384828248821295	0.384359185999662	0.384359185999662	0.384359185999662	0.274517948649284	0.521532015629254	-32.5622925082566	73.1245850165133	100	100	1	200.642652433375	175.510519998162	0.106124012090845	FALSE	FALSE
R178603_20	free_noTails	parametric	original	Increasing	0.841434896465216	11	450	2300	1850	265	2485	9250	0.5	1201.57464666612	920.937923541165	2240.46479485357	302.707816427786	8.17790066073404	1844.1858488184	0.101327586343242	0.412143672606627	0.101327586343242	0.412143672606627	0.310816086263386	0.310816086263386	0.310816086263386	0.190330181245964	0.790485828003205	-52.6308908855	113.261781771	100	100	1	409.227790996227	580.101005483237	0.160772875045215	FALSE	FALSE
